Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
844.7890625,76,3219.230713,6173.333496,2043.717896,1626.923096,6953.717773,7654.230957,3242.94873,6987.307617,6278.589844,3530.897461,6133.077148,1442.692261,7562.563965,6613.205078,450.8974304,1711.666626,fleece,articulators
844.796875,76,2136.538574,4334.871582,3445.641113,1883.589722,7792.179688,3002.564209,2439.358887,3299.230713,7351.666504,3183.589844,2576.538574,5858.589844,1393.076904,5082.307617,5366.410156,4535.128418,fleece,articulators
844.8046875,76,2819.230713,2747.564209,181.0256348,6117.05127,3158.718018,8191.794922,6159.230957,475.7692261,4045.128174,1769.74353,5960.641113,2088.846191,1039.230713,1584.487183,8259.615234,8273.333008,fleece,articulators
844.8125,76,688.4615479,565.1281738,3772.05127,668.8461304,2887.179443,8273.333008,174.2307587,7571.538574,5024.487305,2769.743652,1390.769165,3487.179443,3626.281982,4183.461426,459.1025696,2429.358887,fleece,articulators
844.8203125,76,7638.077148,8370.512695,748.7179565,2361.666748,7105.641113,2482.179443,2257.05127,3430.769287,1923.974365,295.0,4636.282227,3897.05127,6162.05127,4764.358887,230.5128174,1303.205078,fleece,articulators
844.828125,76,7645.384766,3490.384521,518.7179565,6338.077148,1987.94873,6411.538574,4798.333496,3340.769287,6049.102539,8206.025391,8287.564453,7240.128418,7207.307617,5318.846191,730.7692261,4712.692383,fleece,articulators
844.8359375,76,3576.794922,5530.256348,1226.923096,1443.461548,1390.512817,6082.692383,8079.102539,2773.076904,5090.384766,3094.743652,2360.384521,5833.333496,7334.487305,8054.615234,6354.358887,1645.512817,fleece,articulators
844.84375,76,4849.102539,7664.102539,5784.871582,6848.077148,3439.487061,820.0,1809.230713,432.8204956,6243.205078,106.0256348,207.0512695,4196.666504,1434.74353,1703.717896,3588.461426,3346.410156,fleece,articulators
844.8515625,76,2083.846191,4714.871582,3067.179443,3112.692383,5008.077148,802.3076782,157.5640869,6265.769043,7837.436035,3570.128174,3769.743652,1105.769165,161.4102478,2032.820557,5876.666504,2464.615479,fleece,articulators
844.859375,76,2871.666748,5045.769043,2421.025635,3213.205078,5068.589844,8055.128418,5576.922852,7000.256348,5290.384766,4235.512695,1623.076904,8319.615234,2246.025635,4352.05127,117.5640945,7254.358887,fleece,articulators
844.8671875,76,1260.769165,630.0,5790.128418,7720.0,6373.205078,3137.05127,7713.461426,847.4359131,4221.666504,1564.102539,4344.487305,7530.641113,907.0512695,7587.820313,7937.820313,6097.94873,fleece,articulators
844.875,76,7350.384766,4605.384766,2052.94873,6169.871582,2990.0,5800.641113,4800.512695,934.1025391,1737.94873,3155.641113,6521.282227,5166.410156,3412.435791,6444.230957,8182.307617,1829.359009,fleece,articulators
844.8828125,76,6623.717773,3110.897461,7238.333496,7245.384766,7974.230957,2871.923096,4098.846191,6945.512695,4048.846191,7491.410156,4290.641113,1526.025635,661.7948608,1776.410278,7485.256348,7031.538574,fleece,articulators
844.890625,76,4610.256348,5008.205078,6112.692383,7500.128418,1864.615356,3018.846191,2061.923096,5049.615234,4729.487305,4137.179688,1903.846191,1721.923096,3580.0,708.5897217,573.5897217,551.1538086,fleece,articulators
